alpha,beta1,beta2,window,corr_min_completion,corr_knn_completion,corr_min_rmsd,corr_knn_rmsd,auc_min_success,auc_knn_success
0.05,0.1,0.5,240,0.9050383688925585,0.8699697990753072,0.5437827678906241,0.5358098460668447,0.9695806927736497,0.9586391750719475
0.05,0.1,0.5,480,0.9050383688925585,0.8699697990753072,0.5437827678906241,0.5358098460668447,0.9695806927736497,0.9586391750719475
0.05,0.1,0.7,6,0.7279507864760548,0.6729005598810756,0.4360008043610282,0.402941784,0.8994608409421292,0.9253193033267995
0.05,0.1,0.7,12,0.8051067172927971,0.631659371,0.48249623591003143,0.3746556865812928,0.927523868,0.8810269263104769
0.05,0.1,0.7,24,0.8514260290902237,0.6968275142364985,0.5113856853701786,0.4278858022879233,0.9484141308885861,0.8839853868086562
0.05,0.1,0.7,48,0.8824149233645433,0.7927768280125225,0.5314713293392298,0.4927784,0.9622053125146723,0.9232046255427353
0.05,0.1,0.7,72,0.8908926745722967,0.8294452955906862,0.5367094889673594,0.5145019388032628,0.9653922764657628,0.9411518276690094
0.05,0.1,0.7,96,0.8967733919080061,0.8509542397724645,0.5402284542722637,0.5271440332251018,0.9689333341289141,0.951314814
0.05,0.1,0.7,120,0.8996825639892552,0.8649040368477736,0.5417838325844877,0.5349043173041738,0.9698151480144868,0.9588761617061303
0.05,0.1,0.7,240,0.8996825639892552,0.8649040368477736,0.5417838325844877,0.5349043173041738,0.9698151480144868,0.9588761617061303
0.05,0.1,0.7,480,0.8996825639892552,0.8649040368477736,0.5417838325844877,0.5349043173041738,0.9698151480144868,0.9588761617061303
0.05,0.1,0.9,6,0.7290084768285892,0.6778018970794722,0.4380072936987091,0.4083723955749473,0.8997107406959393,0.9256217144247172
0.05,0.1,0.9,12,0.8037886839737365,0.6379479974809976,0.48297347240435207,0.38083568209538193,0.9277640636529707,0.881313818
0.05,0.1,0.9,24,0.848190081,0.7006126696671053,0.5105333930076705,0.4319890918901841,0.9486422576460587,0.8842667632332958
0.05,0.1,0.9,48,0.8773500046156152,0.7918534992766261,0.5295546673679735,0.4939516006603534,0.9624210384583141,0.923464214
0.05,0.1,0.9,72,0.8851186583033417,0.8261160666626746,0.5344021263066036,0.5143454357656886,0.9655992329395993,0.9413831186681642
0.05,0.1,0.9,96,0.8904371183283275,0.8460003859375249,0.5376203475556005,0.5260945919101101,0.9691276487038394,0.9515203846777656
0.05,0.1,0.9,120,0.893,0.8588180333343162,0.539,0.5332566479660938,0.97,0.9590655943081743
0.05,0.1,0.9,240,0.893,0.8588180333343162,0.539,0.5332566479660938,0.97,0.9590655943081743
0.05,0.1,0.9,480,0.893,0.8588180333343162,0.539,0.5332566479660938,0.97,0.9590655943081743
0.05,0.3,0.1,6,0.722025297,0.6575728305790343,0.4282343055720384,0.38640398309416185,0.8974525419498589,0.9223977891172146
0.05,0.3,0.1,12,0.8037882443653047,0.6139161249471132,0.4778835004618881,0.35718117196752946,0.9255185821448895,0.8781933930874761
0.05,0.3,0.1,24,0.8539265755797416,0.6838457410099409,0.5096984016959483,0.4144414497066901,0.9464514120443577,0.881696691
0.05,0.3,0.1,48,0.8886700410610917,0.7893072970791553,0.531866757,0.48480968560943216,0.9604454969013636,0.9213627204594986
0.05,0.3,0.1,72,0.8986730439230655,0.8313747869400666,0.5378944570991904,0.5092922946577192,0.9637531088674529,0.9395566580979003
0.05,0.3,0.1,96,0.9057903655488928,0.8567540616288962,0.5420285782716866,0.5239091091224468,0.9673953167897136,0.9498879674617111
0.05,0.3,0.1,120,0.9094844713865018,0.8735168494313693,0.5439533620032964,0.5330585911545387,0.9683543833757855,0.9575781144289843
0.05,0.3,0.1,240,0.9094844713865018,0.8735168494313693,0.5439533620032964,0.5330585911545387,0.9683543833757855,0.9575781144289843
0.05,0.3,0.1,480,0.9094844713865018,0.8735168494313693,0.5439533620032964,0.5330585911545387,0.9683543833757855,0.9575781144289843
0.05,0.3,0.3,6,0.7227841620423712,0.6589123155186248,0.42906152275480636,0.38780889575161415,0.8979248276226608,0.9232257958263713
